index_code,con_code,trade_date,weight,stock_name
000016.SH,600519.SH,20250930,9.856,贵州茅台
000016.SH,601318.SH,20250930,6.445,中国平安
000016.SH,600036.SH,20250930,5.435,招商银行
000016.SH,601899.SH,20250930,5.269,紫金矿业
000016.SH,600900.SH,20250930,3.623,长江电力
000016.SH,601166.SH,20250930,3.585,兴业银行
000016.SH,600276.SH,20250930,3.472,恒瑞医药
000016.SH,600030.SH,20250930,3.171,中信证券
000016.SH,603259.SH,20250930,3.045,药明康德
000016.SH,688981.SH,20250930,3.028,中芯国际
000016.SH,688256.SH,20250930,3.005,寒武纪-U
000016.SH,601398.SH,20250930,2.78,工商银行
000016.SH,688041.SH,20250930,2.552,海光信息
000016.SH,601211.SH,20250930,2.317,国泰海通
000016.SH,601288.SH,20250930,2.314,农业银行
000016.SH,601328.SH,20250930,1.948,交通银行
000016.SH,688008.SH,20250930,1.926,澜起科技
000016.SH,600887.SH,20250930,1.875,伊利股份
000016.SH,600150.SH,20250930,1.698,中国船舶
000016.SH,601816.SH,20250930,1.636,京沪高铁
000016.SH,601127.SH,20250930,1.523,赛力斯
000016.SH,600031.SH,20250930,1.498,三一重工
000016.SH,688012.SH,20250930,1.421,中微公司
000016.SH,603501.SH,20250930,1.399,豪威集团
000016.SH,601088.SH,20250930,1.38,中国神华
000016.SH,600309.SH,20250930,1.363,万华化学
000016.SH,601601.SH,20250930,1.306,中国太保
000016.SH,601668.SH,20250930,1.224,中国建筑
000016.SH,603993.SH,20250930,1.199,洛阳钼业
000016.SH,601012.SH,20250930,1.186,隆基绿能
000016.SH,601728.SH,20250930,1.124,中国电信
000016.SH,600690.SH,20250930,1.033,海尔智家
000016.SH,600809.SH,20250930,1.029,山西汾酒
000016.SH,600941.SH,20250930,1.027,中国移动
000016.SH,600406.SH,20250930,1.002,国电南瑞
000016.SH,601857.SH,20250930,0.993,中国石油
000016.SH,601766.SH,20250930,0.987,中国中车
000016.SH,601919.SH,20250930,0.982,中远海控
000016.SH,600050.SH,20250930,0.934,中国联通
000016.SH,600760.SH,20250930,0.86,中航沈飞
000016.SH,601225.SH,20250930,0.843,陕西煤业
000016.SH,600028.SH,20250930,0.838,中国石化
000016.SH,601988.SH,20250930,0.806,中国银行
000016.SH,688111.SH,20250930,0.796,金山办公
000016.SH,601985.SH,20250930,0.779,中国核电
000016.SH,601888.SH,20250930,0.759,中国中免
000016.SH,601628.SH,20250930,0.718,中国人寿
000016.SH,601600.SH,20250930,0.71,中国铝业
000016.SH,601658.SH,20250930,0.689,邮储银行
000016.SH,600048.SH,20250930,0.613,保利发展
